LossDelta	Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
0.0731045	5.385551452636719	0	9.57142857143	5.86654297952	36.0	3.0	9.57142857143	5.86654297952	1005	1005
0.0595595	5.700425624847412	1	11.6976744186	7.20960239436	52.0	4.0	11.6976744186	7.20960239436	1006	2011
0.0534216	5.962249994277954	2	17.7719298246	11.145005244	51.0	3.0	17.7719298246	11.145005244	1013	3024
0.0407162	6.231443881988525	3	19.25	13.3357169344	70.0	5.0	19.25	13.3357169344	1001	4025
0.0239702	6.50314474105835	4	20.7959183673	10.149855919	55.0	6.0	20.7959183673	10.149855919	1019	5044
0.0226251	6.765622615814209	5	26.6842105263	17.1435199714	84.0	6.0	26.6842105263	17.1435199714	1014	6058
0.0214374	7.014161586761475	6	32.4838709677	20.9759785311	90.0	7.0	32.4838709677	20.9759785311	1007	7065
0.0105341	7.27348518371582	7	40.64	22.918778327	125.0	10.0	40.64	22.918778327	1016	8081
0.0169894	7.530046701431274	8	43.4166666667	23.9128916881	107.0	11.0	43.4166666667	23.9128916881	1042	9123
0.0132361	7.789023160934448	9	39.1923076923	15.4073389875	62.0	10.0	39.1923076923	15.4073389875	1019	10142
0.0117343	8.037574052810669	10	49.1428571429	23.7231767613	110.0	20.0	49.1428571429	23.7231767613	1032	11174
0.00792017	8.303016185760498	11	50.0	19.6177761955	112.0	18.0	50.0	19.6177761955	1050	12224
0.00877048	8.558330297470093	12	56.2777777778	25.3087722068	116.0	23.0	56.2777777778	25.3087722068	1013	13237
0.00365934	8.819777011871338	13	61.5882352941	37.0628382513	170.0	13.0	61.5882352941	37.0628382513	1047	14284
0.00315679	9.075459718704224	14	49.2857142857	30.0256126493	109.0	7.0	49.2857142857	30.0256126493	1035	15319
0.00153376	9.334490299224854	15	56.3888888889	20.1553381098	93.0	15.0	56.3888888889	20.1553381098	1015	16334
0.00270351	9.579917430877686	16	53.1578947368	28.1560747075	114.0	9.0	53.1578947368	28.1560747075	1010	17344
0.00460245	9.832831382751465	17	57.0	31.7437657921	154.0	12.0	57.0	31.7437657921	1026	18370
0.00278063	10.079575538635254	18	78.2307692308	33.0015240817	171.0	41.0	78.2307692308	33.0015240817	1017	19387
0.00253058	10.344882249832153	19	90.0	59.2494725715	250.0	27.0	90.0	59.2494725715	1080	20467
0.0098263	10.601229429244995	20	87.25	42.5208282296	191.0	42.0	87.25	42.5208282296	1047	21514
0.00450202	10.85723876953125	21	73.7857142857	53.7390235589	195.0	19.0	73.7857142857	53.7390235589	1033	22547
0.00823259	11.10738730430603	22	94.0909090909	37.715332174	159.0	38.0	94.0909090909	37.715332174	1035	23582
0.000798954	11.385003328323364	23	110.5	53.278982723	213.0	40.0	110.5	53.278982723	1105	24687
-0.000999152	11.666131019592285	24	127.0	63.0273309323	267.0	51.0	127.0	63.0273309323	1143	25830
0.00124056	11.93160367012024	25	99.1818181818	34.0983022286	143.0	12.0	99.1818181818	34.0983022286	1091	26921
0.00238612	12.196943759918213	26	107.3	71.35411691	307.0	56.0	107.3	71.35411691	1073	27994
0.00466683	12.446691274642944	27	84.4166666667	19.5978669474	106.0	37.0	84.4166666667	19.5978669474	1013	29007
0.00637888	12.705209970474243	28	103.6	55.0694107468	227.0	18.0	103.6	55.0694107468	1036	30043
0.00897617	12.954623699188232	29	79.6923076923	34.012180206	155.0	44.0	79.6923076923	34.012180206	1036	31079
0.00132817	13.213909387588501	30	88.0833333333	29.6436005835	139.0	45.0	88.0833333333	29.6436005835	1057	32136
0.00108496	13.456235885620117	31	77.3846153846	23.8925107723	128.0	32.0	77.3846153846	23.8925107723	1006	33142
0.00240291	13.721872806549072	32	97.9090909091	44.5307953616	222.0	60.0	97.9090909091	44.5307953616	1077	34219
-3.11285e-05	13.988329887390137	33	97.6363636364	52.4044979459	245.0	44.0	97.6363636364	52.4044979459	1074	35293
0.000117891	14.246732234954834	34	95.8181818182	20.7619327434	129.0	73.0	95.8181818182	20.7619327434	1054	36347
-0.000275218	14.506269693374634	35	83.2307692308	21.0463000445	142.0	60.0	83.2307692308	21.0463000445	1082	37429
0.000553206	14.771718978881836	36	89.5833333333	19.3065547303	114.0	61.0	89.5833333333	19.3065547303	1075	38504
0.00166783	15.031691551208496	37	80.4615384615	18.3202930133	124.0	59.0	80.4615384615	18.3202930133	1046	39550
0.00441062	15.278867244720459	38	83.5	24.7504208718	154.0	54.0	83.5	24.7504208718	1002	40552
0.001154	15.539031982421875	39	96.9090909091	30.0891238141	167.0	54.0	96.9090909091	30.0891238141	1066	41618
-0.000635557	15.791935443878174	40	93.0	19.8081709495	135.0	68.0	93.0	19.8081709495	1023	42641
