Timestep	MeanReward	BestMeanReward	episodes	exploration	learning_rate
60000	-20.73	-20.57	208	0.194	0.0001
70000	-20.8	-20.57	247	0.193	0.0001
80000	-20.82	-20.57	285	0.192	0.0001
90000	-20.86	-20.57	325	0.191	0.0001
100000	-20.93	-20.57	365	0.19	0.0001
110000	-20.93	-20.57	404	0.189	0.0001
120000	-20.94	-20.57	444	0.188	0.0001
130000	-20.97	-20.57	483	0.187	0.0001
140000	-20.93	-20.57	523	0.186	0.0001
150000	-20.91	-20.57	562	0.185	0.0001
160000	-20.91	-20.57	602	0.184	0.0001
170000	-20.96	-20.57	641	0.183	0.0001
180000	-20.96	-20.57	681	0.18200000000000002	0.0001
190000	-20.99	-20.57	721	0.181	0.0001
200000	-20.97	-20.57	761	0.18	0.0001
210000	-20.95	-20.57	800	0.17900000000000002	0.0001
220000	-20.95	-20.57	840	0.17800000000000002	0.0001
230000	-20.98	-20.57	880	0.17700000000000002	0.0001
240000	-20.98	-20.57	920	0.17600000000000002	0.0001
250000	-20.97	-20.57	960	0.17500000000000002	0.0001
260000	-20.98	-20.57	1000	0.17400000000000002	0.0001
270000	-20.97	-20.57	1039	0.17300000000000001	0.0001
280000	-20.97	-20.57	1079	0.17200000000000001	0.0001
290000	-20.96	-20.57	1119	0.171	0.0001
300000	-20.98	-20.57	1159	0.17	0.0001
310000	-20.99	-20.57	1199	0.169	0.0001
320000	-20.98	-20.57	1238	0.168	0.0001
330000	-20.99	-20.57	1278	0.167	0.0001
340000	-21.0	-20.57	1318	0.166	0.0001
350000	-21.0	-20.57	1358	0.165	0.0001
360000	-21.0	-20.57	1398	0.164	0.0001
370000	-20.99	-20.57	1438	0.163	0.0001
380000	-20.98	-20.57	1478	0.162	0.0001
390000	-20.98	-20.57	1518	0.161	0.0001
400000	-20.96	-20.57	1557	0.16	0.0001
410000	-20.96	-20.57	1597	0.159	0.0001
420000	-20.95	-20.57	1636	0.158	0.0001
430000	-20.98	-20.57	1676	0.157	0.0001
440000	-20.98	-20.57	1716	0.156	0.0001
450000	-20.95	-20.57	1755	0.155	0.0001
460000	-20.96	-20.57	1795	0.154	0.0001
470000	-20.94	-20.57	1832	0.15300000000000002	0.0001
480000	-20.93	-20.57	1871	0.15200000000000002	0.0001
490000	-20.9	-20.57	1910	0.15100000000000002	0.0001
500000	-20.96	-20.57	1949	0.15000000000000002	0.0001
510000	-20.94	-20.57	1988	0.14900000000000002	0.0001
520000	-20.92	-20.57	2027	0.14800000000000002	0.0001
530000	-20.93	-20.57	2066	0.14700000000000002	0.0001
540000	-20.97	-20.57	2106	0.14600000000000002	0.0001
550000	-20.97	-20.57	2145	0.14500000000000002	0.0001
560000	-20.94	-20.57	2184	0.14400000000000002	0.0001
570000	-20.92	-20.57	2222	0.14300000000000002	0.0001
580000	-20.91	-20.57	2261	0.14200000000000002	0.0001
590000	-20.89	-20.57	2298	0.14100000000000001	0.0001
600000	-20.89	-20.57	2337	0.14	0.0001
610000	-20.92	-20.57	2376	0.139	0.0001
620000	-20.94	-20.57	2415	0.138	0.0001
630000	-20.94	-20.57	2454	0.137	0.0001
640000	-20.97	-20.57	2493	0.136	0.0001
650000	-20.93	-20.57	2532	0.135	0.0001
660000	-20.84	-20.57	2568	0.134	0.0001
670000	-20.75	-20.57	2604	0.133	0.0001
680000	-20.73	-20.57	2637	0.132	0.0001
690000	-20.74	-20.57	2669	0.131	0.0001
700000	-20.76	-20.57	2701	0.13	0.0001
710000	-20.76	-20.57	2733	0.129	0.0001
720000	-20.78	-20.57	2764	0.128	0.0001
730000	-20.73	-20.57	2793	0.127	0.0001
740000	-20.7	-20.57	2825	0.126	0.0001
750000	-20.67	-20.57	2857	0.125	0.0001
760000	-20.67	-20.57	2886	0.124	0.0001
770000	-20.72	-20.57	2918	0.123	0.0001
780000	-20.76	-20.57	2949	0.122	0.0001
790000	-20.82	-20.57	2980	0.121	0.0001
800000	-20.82	-20.57	3009	0.12	0.0001
810000	-20.71	-20.57	3039	0.119	0.0001
820000	-20.68	-20.57	3070	0.11800000000000001	0.0001
830000	-20.63	-20.57	3097	0.117	0.0001
840000	-20.72	-20.57	3128	0.116	0.0001
850000	-20.77	-20.57	3158	0.115	0.0001
860000	-20.82	-20.57	3186	0.114	0.0001
870000	-20.75	-20.57	3212	0.113	0.0001
880000	-20.65	-20.57	3238	0.112	0.0001
890000	-20.52	-20.52	3263	0.111	0.0001
900000	-20.47	-20.47	3290	0.11	0.0001
910000	-20.4	-20.38	3313	0.109	0.0001
920000	-20.35	-20.32	3337	0.108	0.0001
930000	-20.32	-20.31	3360	0.107	0.0001
940000	-20.29	-20.29	3384	0.10600000000000001	0.0001
950000	-20.26	-20.25	3405	0.10500000000000001	0.0001
960000	-20.22	-20.16	3429	0.10400000000000001	0.0001
970000	-20.2	-20.16	3452	0.10300000000000001	0.0001
980000	-19.99	-19.99	3474	0.10200000000000001	0.0001
990000	-19.88	-19.87	3496	0.101	0.0001
1000000	-19.87	-19.84	3518	0.1	0.0001
1010000	-19.73	-19.72	3539	0.099775	9.9875e-05
1020000	-19.63	-19.61	3560	0.09955	9.975e-05
1030000	-19.72	-19.61	3583	0.09932500000000001	9.962500000000001e-05
1040000	-19.72	-19.61	3607	0.09910000000000001	9.95e-05
1050000	-19.95	-19.61	3629	0.098875	9.9375e-05
1060000	-20.07	-19.61	3653	0.09865	9.925e-05
1070000	-20.02	-19.61	3676	0.098425	9.912500000000001e-05
1080000	-19.83	-19.61	3696	0.09820000000000001	9.900000000000001e-05
1090000	-19.76	-19.61	3715	0.097975	9.8875e-05
1100000	-19.54	-19.54	3736	0.09775	9.875e-05
1110000	-19.41	-19.38	3755	0.097525	9.8625e-05
1120000	-19.43	-19.31	3776	0.09730000000000001	9.850000000000001e-05
1130000	-19.37	-19.31	3795	0.09707500000000001	9.8375e-05
1140000	-19.41	-19.31	3814	0.09685	9.825e-05
1150000	-19.46	-19.31	3833	0.096625	9.8125e-05
1160000	-19.39	-19.31	3852	0.0964	9.800000000000001e-05
1170000	-19.33	-19.29	3872	0.09617500000000001	9.787500000000001e-05
1180000	-19.38	-19.26	3892	0.09595000000000001	9.775e-05
1190000	-19.36	-19.26	3911	0.095725	9.7625e-05
1200000	-19.36	-19.26	3930	0.0955	9.75e-05
1210000	-19.5	-19.26	3949	0.095275	9.737500000000001e-05
1220000	-19.49	-19.26	3968	0.09505000000000001	9.725e-05
1230000	-19.62	-19.26	3988	0.094825	9.7125e-05
1240000	-19.63	-19.26	4007	0.0946	9.7e-05
1250000	-19.54	-19.26	4027	0.094375	9.687500000000001e-05
1260000	-19.58	-19.26	4045	0.09415000000000001	9.675000000000001e-05
1270000	-19.36	-19.26	4063	0.09392500000000001	9.6625e-05
1280000	-19.29	-19.21	4081	0.0937	9.65e-05
1290000	-19.31	-19.2	4099	0.093475	9.6375e-05
1300000	-19.14	-19.14	4118	0.09325	9.625000000000001e-05
1310000	-18.95	-18.92	4136	0.09302500000000001	9.6125e-05
1320000	-18.88	-18.83	4154	0.09280000000000001	9.6e-05
1330000	-19.01	-18.83	4171	0.092575	9.5875e-05
1340000	-18.97	-18.83	4190	0.09235	9.575000000000001e-05
1350000	-18.82	-18.79	4207	0.09212500000000001	9.562500000000001e-05
1360000	-18.8	-18.76	4225	0.09190000000000001	9.55e-05
1370000	-18.95	-18.76	4243	0.091675	9.5375e-05
1380000	-18.93	-18.76	4261	0.09145	9.525000000000001e-05
1390000	-19.0	-18.76	4280	0.091225	9.512500000000001e-05
1400000	-19.0	-18.76	4298	0.091	9.5e-05
1410000	-19.12	-18.76	4316	0.09077500000000001	9.4875e-05
1420000	-18.96	-18.76	4334	0.09055	9.475e-05
1430000	-19.02	-18.76	4351	0.090325	9.462500000000001e-05
1440000	-18.95	-18.76	4368	0.0901	9.45e-05
1450000	-18.81	-18.75	4386	0.08987500000000001	9.4375e-05
1460000	-18.86	-18.75	4404	0.08965000000000001	9.425e-05
1470000	-18.75	-18.75	4421	0.089425	9.412500000000001e-05
1480000	-18.65	-18.64	4438	0.0892	9.400000000000001e-05
1490000	-18.54	-18.5	4456	0.088975	9.3875e-05
1500000	-18.5	-18.45	4472	0.08875000000000001	9.375e-05
1510000	-18.38	-18.38	4489	0.088525	9.3625e-05
1520000	-18.24	-18.24	4505	0.0883	9.350000000000001e-05
1530000	-18.42	-18.24	4523	0.088075	9.3375e-05
