LossDelta	Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
0.019633	5.415168285369873	0	21.8260869565	8.58285537728	39.0	10.0	21.8260869565	8.58285537728	1004	1004
0.0188664	5.671879529953003	1	22.3111111111	9.77257437304	47.0	8.0	22.3111111111	9.77257437304	1004	2008
0.0126592	5.925658941268921	2	25.025	12.6796835528	65.0	12.0	25.025	12.6796835528	1001	3009
0.00549415	6.177251815795898	3	36.5357142857	15.9720339139	74.0	18.0	36.5357142857	15.9720339139	1023	4032
0.00297316	6.422996759414673	4	33.4666666667	14.5252270971	65.0	13.0	33.4666666667	14.5252270971	1004	5036
0.0068955	6.679163694381714	5	32.8387096774	11.2711357707	58.0	13.0	32.8387096774	11.2711357707	1018	6054
0.00529932	6.934452772140503	6	37.3333333333	16.8369083113	87.0	18.0	37.3333333333	16.8369083113	1008	7062
0.00707953	7.1793553829193115	7	40.44	11.3985262205	57.0	21.0	40.44	11.3985262205	1011	8073
0.00140346	7.431945562362671	8	43.8333333333	15.5232800085	72.0	18.0	43.8333333333	15.5232800085	1052	9125
0.00558053	7.67848014831543	9	46.2727272727	15.8864774349	90.0	26.0	46.2727272727	15.8864774349	1018	10143
0.00561163	7.926292657852173	10	50.35	19.6857181733	108.0	23.0	50.35	19.6857181733	1007	11150
0.010465	8.179638385772705	11	55.6111111111	16.4962584609	103.0	33.0	55.6111111111	16.4962584609	1001	12151
0.00438428	8.434754848480225	12	61.0	21.9812754541	119.0	27.0	61.0	21.9812754541	1037	13188
4.87082e-05	8.682472467422485	13	59.2352941176	10.6413699459	75.0	36.0	59.2352941176	10.6413699459	1007	14195
0.00290979	8.935477256774902	14	56.8888888889	17.9533001884	94.0	25.0	56.8888888889	17.9533001884	1024	15219
0.00393114	9.182276964187622	15	63.1875	20.7009020033	120.0	31.0	63.1875	20.7009020033	1011	16230
0.00420477	9.41710376739502	16	66.9333333333	25.1805921738	132.0	27.0	66.9333333333	25.1805921738	1004	17234
0.00733088	9.669630289077759	17	79.6923076923	25.9537595183	124.0	44.0	79.6923076923	25.9537595183	1036	18270
0.00279207	9.92003059387207	18	83.2307692308	32.8426407777	167.0	49.0	83.2307692308	32.8426407777	1082	19352
0.0119151	10.170310020446777	19	104.0	44.6609449072	175.0	41.0	104.0	44.6609449072	1040	20392
0.00230358	10.40999960899353	20	101.6	24.7313566146	143.0	57.0	101.6	24.7313566146	1016	21408
0.00226075	10.666805267333984	21	100.363636364	22.1329566167	131.0	60.0	100.363636364	22.1329566167	1104	22512
0.00318654	10.939246654510498	22	114.7	33.3588069331	181.0	72.0	114.7	33.3588069331	1147	23659
0.00025575	11.194851398468018	23	115.888888889	24.3878131881	151.0	76.0	115.888888889	24.3878131881	1043	24702
0.0018011	11.452697038650513	24	124.444444444	35.9385621153	180.0	66.0	124.444444444	35.9385621153	1120	25822
0.000828858	11.71523928642273	25	109.5	30.4803215206	176.0	59.0	109.5	30.4803215206	1095	26917
0.0014876	11.976423740386963	26	122.444444444	27.2727422372	194.0	97.0	122.444444444	27.2727422372	1102	28019
0.00112474	12.234456539154053	27	117.111111111	27.9580814969	170.0	65.0	117.111111111	27.9580814969	1054	29073
0.00327441	12.481572389602661	28	113.222222222	26.7073763335	138.0	62.0	113.222222222	26.7073763335	1019	30092
0.00263156	12.721685886383057	29	130.75	36.337824646	204.0	88.0	130.75	36.337824646	1046	31138
0.00374176	12.990272998809814	30	152.857142857	38.375693838	197.0	78.0	152.857142857	38.375693838	1070	32208
0.00141065	13.22457480430603	31	143.142857143	49.2585846657	213.0	88.0	143.142857143	49.2585846657	1002	33210
0.00676493	13.466783285140991	32	117.111111111	43.1468923677	203.0	56.0	117.111111111	43.1468923677	1054	34264
0.00678463	13.718181848526001	33	176.333333333	30.2416195921	210.0	123.0	176.333333333	30.2416195921	1058	35322
0.00354	13.958560466766357	34	143.0	46.9619907098	219.0	57.0	143.0	46.9619907098	1001	36323
0.0047299	14.220016241073608	35	152.571428571	21.4466590329	187.0	123.0	152.571428571	21.4466590329	1068	37391
0.00565916	14.47403621673584	36	136.875	29.5653407726	183.0	84.0	136.875	29.5653407726	1095	38486
0.00291115	14.719395160675049	37	151.142857143	20.2091108974	196.0	129.0	151.142857143	20.2091108974	1058	39544
0.00472379	14.997174501419067	38	169.714285714	37.3696373533	239.0	130.0	169.714285714	37.3696373533	1188	40732
0.0150372	15.260762691497803	39	163.0	45.9036257516	263.0	116.0	163.0	45.9036257516	1141	41873
0.00870648	15.527254819869995	40	230.6	50.6304256352	298.0	167.0	230.6	50.6304256352	1153	43026
0.00252617	15.772566556930542	41	169.833333333	63.1437953317	307.0	122.0	169.833333333	63.1437953317	1019	44045
-0.000684878	16.027022123336792	42	178.166666667	66.8441387774	287.0	117.0	178.166666667	66.8441387774	1069	45114
0.0039902	16.265151500701904	43	172.333333333	13.2371531011	188.0	148.0	172.333333333	13.2371531011	1034	46148
-0.00127093	16.518405437469482	44	149.285714286	32.6090008859	204.0	94.0	149.285714286	32.6090008859	1045	47193
0.00145459	16.794419765472412	45	166.428571429	40.7110274385	234.0	102.0	166.428571429	40.7110274385	1165	48358
-0.00118999	17.046191692352295	46	212.6	42.1834090609	258.0	145.0	212.6	42.1834090609	1063	49421
0.00193591	17.30797553062439	47	225.2	65.9254123992	323.0	120.0	225.2	65.9254123992	1126	50547
0.00024385	17.56863307952881	48	185.666666667	75.4931932178	341.0	114.0	185.666666667	75.4931932178	1114	51661
0.000974867	17.822476148605347	49	270.0	100.491293155	434.0	166.0	270.0	100.491293155	1080	52741
0.00145468	18.09043598175049	50	225.8	32.3443967327	266.0	181.0	225.8	32.3443967327	1129	53870
0.00356718	18.364606618881226	51	284.75	89.8147398816	393.0	196.0	284.75	89.8147398816	1139	55009
0.00162052	18.63553214073181	52	286.25	121.684787463	489.0	172.0	286.25	121.684787463	1145	56154
0.00219032	18.94058060646057	53	324.75	85.9051075315	460.0	227.0	324.75	85.9051075315	1299	57453
0.000615814	19.20604419708252	54	372.333333333	34.9698282651	400.0	323.0	372.333333333	34.9698282651	1117	58570
0.00198773	19.512811183929443	55	441.666666667	144.753430203	568.0	239.0	441.666666667	144.753430203	1325	59895
-0.000213146	19.78735089302063	56	373.0	195.347553521	642.0	184.0	373.0	195.347553521	1119	61014
0.00057677	20.04674530029297	57	553.0	249.0	802.0	304.0	553.0	249.0	1106	62120
-0.000202425	20.322689056396484	58	287.5	100.649143066	456.0	205.0	287.5	100.649143066	1150	63270
0.00230558	20.579456329345703	59	538.5	24.5	563.0	514.0	538.5	24.5	1077	64347
0.00392182	20.82463049888611	60	344.0	84.9352694703	460.0	259.0	344.0	84.9352694703	1032	65379
-0.000444655	21.069406270980835	61	514.0	54.0	568.0	460.0	514.0	54.0	1028	66407
0.000287603	21.35961937904358	62	606.5	155.5	762.0	451.0	606.5	155.5	1213	67620
3.42727e-06	21.70736861228943	63	707.5	133.5	841.0	574.0	707.5	133.5	1415	69035
0.00257764	22.009312629699707	64	612.5	255.5	868.0	357.0	612.5	255.5	1225	70260
