Timestep	MeanReward	BestMeanReward	episodes	exploration	learning_rate
1090000	-15.85	-15.58	2543	0.097975	9.8875e-05
1100000	-15.73	-15.58	2562	0.09775	9.875e-05
1110000	-15.82	-15.58	2580	0.097525	9.8625e-05
1120000	-15.8	-15.58	2599	0.09730000000000001	9.850000000000001e-05
1130000	-15.64	-15.58	2618	0.09707500000000001	9.8375e-05
1140000	-15.52	-15.47	2636	0.09685	9.825e-05
1150000	-15.69	-15.47	2655	0.096625	9.8125e-05
1160000	-15.75	-15.47	2673	0.0964	9.800000000000001e-05
1170000	-15.75	-15.47	2692	0.09617500000000001	9.787500000000001e-05
1180000	-15.64	-15.47	2711	0.09595000000000001	9.775e-05
1190000	-15.51	-15.47	2728	0.095725	9.7625e-05
1200000	-15.52	-15.47	2746	0.0955	9.75e-05
1210000	-15.57	-15.41	2764	0.095275	9.737500000000001e-05
1220000	-15.35	-15.35	2782	0.09505000000000001	9.725e-05
1230000	-15.54	-15.33	2802	0.094825	9.7125e-05
1240000	-15.7	-15.33	2821	0.0946	9.7e-05
1250000	-15.83	-15.33	2840	0.094375	9.687500000000001e-05
1260000	-15.95	-15.33	2859	0.09415000000000001	9.675000000000001e-05
1270000	-15.86	-15.33	2877	0.09392500000000001	9.6625e-05
1280000	-15.66	-15.33	2894	0.0937	9.65e-05
1290000	-15.41	-15.33	2911	0.093475	9.6375e-05
1300000	-15.16	-15.14	2928	0.09325	9.625000000000001e-05
1310000	-15.34	-15.14	2946	0.09302500000000001	9.6125e-05
1320000	-15.06	-15.01	2963	0.09280000000000001	9.6e-05
1330000	-15.19	-14.97	2981	0.092575	9.5875e-05
1340000	-15.01	-14.97	3000	0.09235	9.575000000000001e-05
1350000	-15.05	-14.9	3017	0.09212500000000001	9.562500000000001e-05
1360000	-14.92	-14.9	3035	0.09190000000000001	9.55e-05
1370000	-14.95	-14.73	3054	0.091675	9.5375e-05
1380000	-15.12	-14.73	3073	0.09145	9.525000000000001e-05
1390000	-15.15	-14.73	3091	0.091225	9.512500000000001e-05
1400000	-15.34	-14.73	3109	0.091	9.5e-05
1410000	-15.58	-14.73	3128	0.09077500000000001	9.4875e-05
1420000	-15.73	-14.73	3146	0.09055	9.475e-05
1430000	-15.55	-14.73	3163	0.090325	9.462500000000001e-05
1440000	-15.65	-14.73	3181	0.0901	9.45e-05
1450000	-15.59	-14.73	3198	0.08987500000000001	9.4375e-05
1460000	-15.36	-14.73	3215	0.08965000000000001	9.425e-05
1470000	-15.28	-14.73	3232	0.089425	9.412500000000001e-05
1480000	-15.35	-14.73	3251	0.0892	9.400000000000001e-05
1490000	-15.53	-14.73	3269	0.088975	9.3875e-05
1500000	-15.47	-14.73	3287	0.08875000000000001	9.375e-05
1510000	-15.36	-14.73	3305	0.088525	9.3625e-05
1520000	-15.49	-14.73	3322	0.0883	9.350000000000001e-05
1530000	-15.38	-14.73	3340	0.088075	9.3375e-05
1540000	-15.22	-14.73	3358	0.08785	9.325e-05
1550000	-15.17	-14.73	3376	0.08762500000000001	9.3125e-05
1560000	-15.17	-14.73	3393	0.0874	9.300000000000001e-05
1570000	-15.13	-14.73	3410	0.087175	9.287500000000001e-05
1580000	-15.19	-14.73	3426	0.08695	9.275e-05
1590000	-15.57	-14.73	3443	0.08672500000000001	9.2625e-05
1600000	-15.53	-14.73	3459	0.08650000000000001	9.25e-05
1610000	-15.62	-14.73	3476	0.086275	9.237500000000001e-05
1620000	-15.65	-14.73	3494	0.08605	9.225e-05
1630000	-15.65	-14.73	3512	0.085825	9.2125e-05
1640000	-15.27	-14.73	3529	0.08560000000000001	9.2e-05
1650000	-15.3	-14.73	3549	0.085375	9.1875e-05
1660000	-15.29	-14.73	3566	0.08515	9.175000000000001e-05
1670000	-15.05	-14.73	3583	0.084925	9.1625e-05
1680000	-15.21	-14.73	3601	0.0847	9.15e-05
1690000	-15.32	-14.73	3618	0.08447500000000001	9.137500000000001e-05
1700000	-15.27	-14.73	3635	0.08425	9.125000000000001e-05
1710000	-15.23	-14.73	3653	0.084025	9.1125e-05
1720000	-15.46	-14.73	3671	0.0838	9.1e-05
1730000	-15.34	-14.73	3688	0.08357500000000001	9.0875e-05
1740000	-15.51	-14.73	3706	0.08335000000000001	9.075000000000001e-05
1750000	-15.5	-14.73	3722	0.083125	9.062500000000001e-05
1760000	-15.42	-14.73	3740	0.0829	9.05e-05
1770000	-15.4	-14.73	3757	0.082675	9.0375e-05
1780000	-15.37	-14.73	3774	0.08245	9.025e-05
1790000	-15.46	-14.73	3792	0.082225	9.012500000000001e-05
1800000	-15.22	-14.73	3809	0.082	9e-05
1810000	-15.24	-14.73	3825	0.081775	8.9875e-05
1820000	-15.04	-14.73	3842	0.08155000000000001	8.975e-05
1830000	-15.12	-14.73	3860	0.08132500000000001	8.962500000000001e-05
1840000	-15.19	-14.73	3876	0.0811	8.950000000000001e-05
1850000	-15.2	-14.73	3892	0.080875	8.9375e-05
1860000	-15.41	-14.73	3910	0.08065	8.925e-05
1870000	-15.71	-14.73	3927	0.080425	8.912500000000001e-05
1880000	-15.82	-14.73	3943	0.08020000000000001	8.900000000000001e-05
1890000	-15.71	-14.73	3959	0.079975	8.8875e-05
1900000	-15.78	-14.73	3977	0.07975	8.875e-05
1910000	-15.74	-14.73	3995	0.079525	8.8625e-05
1920000	-15.6	-14.73	4011	0.07930000000000001	8.850000000000001e-05
1930000	-15.57	-14.73	4028	0.079075	8.837500000000001e-05
1940000	-15.26	-14.73	4045	0.07885	8.825e-05
1950000	-15.38	-14.73	4062	0.078625	8.8125e-05
1960000	-15.5	-14.73	4080	0.0784	8.8e-05
1970000	-15.48	-14.73	4098	0.07817500000000001	8.787500000000001e-05
1980000	-15.48	-14.73	4115	0.07795	8.775e-05
1990000	-15.64	-14.73	4134	0.077725	8.7625e-05
2000000	-15.75	-14.73	4150	0.0775	8.75e-05
2010000	-15.62	-14.73	4167	0.07727500000000001	8.737500000000001e-05
2020000	-15.48	-14.73	4184	0.07705000000000001	8.725e-05
2030000	-15.64	-14.73	4201	0.076825	8.7125e-05
2040000	-15.45	-14.73	4217	0.0766	8.7e-05
2050000	-15.18	-14.73	4233	0.076375	8.687500000000001e-05
2060000	-15.0	-14.73	4249	0.07615	8.675000000000001e-05
2070000	-14.99	-14.73	4266	0.075925	8.6625e-05
2080000	-14.88	-14.73	4283	0.0757	8.65e-05
2090000	-14.79	-14.73	4300	0.075475	8.6375e-05
2100000	-14.71	-14.68	4316	0.07525	8.625000000000001e-05
2110000	-14.71	-14.68	4333	0.07502500000000001	8.6125e-05
2120000	-14.89	-14.68	4349	0.0748	8.6e-05
2130000	-15.01	-14.68	4366	0.074575	8.5875e-05
2140000	-15.13	-14.68	4384	0.07435	8.575000000000001e-05
2150000	-15.17	-14.68	4401	0.074125	8.562500000000001e-05
2160000	-15.42	-14.68	4419	0.07390000000000001	8.55e-05
2170000	-15.39	-14.68	4436	0.073675	8.5375e-05
2180000	-15.3	-14.68	4451	0.07345	8.525000000000001e-05
2190000	-15.19	-14.68	4468	0.073225	8.512500000000001e-05
2200000	-15.08	-14.68	4483	0.07300000000000001	8.5e-05
2210000	-15.03	-14.68	4501	0.072775	8.4875e-05
2220000	-15.16	-14.68	4519	0.07255	8.475e-05
2230000	-15.11	-14.68	4535	0.072325	8.462500000000001e-05
2240000	-15.19	-14.68	4552	0.0721	8.450000000000001e-05
2250000	-15.41	-14.68	4569	0.071875	8.4375e-05
2260000	-15.45	-14.68	4586	0.07165	8.425e-05
2270000	-15.26	-14.68	4602	0.071425	8.4125e-05
2280000	-15.21	-14.68	4620	0.0712	8.400000000000001e-05
2290000	-15.29	-14.68	4636	0.070975	8.3875e-05
2300000	-15.33	-14.68	4653	0.07075000000000001	8.375e-05
2310000	-15.23	-14.68	4670	0.070525	8.3625e-05
2320000	-15.5	-14.68	4688	0.0703	8.35e-05
2330000	-15.73	-14.68	4706	0.070075	8.337500000000001e-05
2340000	-15.65	-14.68	4722	0.06985	8.325e-05
2350000	-15.51	-14.68	4739	0.06962499999999999	8.3125e-05
2360000	-15.63	-14.68	4756	0.0694	8.3e-05
2370000	-15.66	-14.68	4772	0.069175	8.2875e-05
2380000	-15.47	-14.68	4789	0.06895000000000001	8.275e-05
2390000	-15.31	-14.68	4806	0.06872500000000001	8.2625e-05
2400000	-15.44	-14.68	4823	0.0685	8.25e-05
2410000	-15.41	-14.68	4840	0.068275	8.237500000000001e-05
2420000	-15.15	-14.68	4856	0.06805	8.225000000000001e-05
2430000	-15.05	-14.68	4870	0.067825	8.2125e-05
2440000	-14.99	-14.68	4887	0.0676	8.2e-05
2450000	-14.81	-14.68	4903	0.067375	8.1875e-05
2460000	-14.75	-14.68	4921	0.06715	8.175000000000001e-05
2470000	-14.62	-14.62	4937	0.06692500000000001	8.1625e-05
2480000	-14.96	-14.59	4954	0.06670000000000001	8.15e-05
2490000	-14.72	-14.59	4969	0.066475	8.1375e-05
2500000	-14.6	-14.59	4984	0.06625	8.125e-05
2510000	-14.64	-14.56	5002	0.066025	8.112500000000001e-05
2520000	-14.53	-14.49	5019	0.0658	8.1e-05
2530000	-14.59	-14.49	5035	0.065575	8.0875e-05
2540000	-14.55	-14.49	5052	0.06534999999999999	8.075000000000001e-05
2550000	-14.69	-14.47	5067	0.065125	8.062500000000001e-05
2560000	-15.02	-14.47	5084	0.0649	8.05e-05
2570000	-14.72	-14.47	5100	0.06467500000000001	8.0375e-05
2580000	-14.55	-14.47	5116	0.06445000000000001	8.025e-05
2590000	-14.67	-14.47	5132	0.064225	8.012500000000001e-05
2600000	-14.59	-14.47	5148	0.064	8e-05
2610000	-14.61	-14.47	5164	0.063775	7.9875e-05
2620000	-14.41	-14.37	5181	0.06355	7.975e-05
2630000	-14.76	-14.37	5198	0.063325	7.9625e-05
2640000	-15.16	-14.37	5215	0.0631	7.950000000000001e-05
2650000	-15.06	-14.37	5230	0.062875	7.9375e-05
2660000	-15.02	-14.37	5247	0.06265000000000001	7.925e-05
2670000	-15.01	-14.37	5263	0.062425	7.912500000000001e-05
2680000	-14.89	-14.37	5279	0.062200000000000005	7.900000000000001e-05
2690000	-14.88	-14.37	5296	0.061975	7.8875e-05
2700000	-14.66	-14.37	5312	0.06175	7.875e-05
2710000	-14.63	-14.37	5328	0.061525	7.8625e-05
2720000	-14.58	-14.37	5343	0.0613	7.850000000000001e-05
2730000	-14.72	-14.37	5359	0.061075000000000004	7.837500000000001e-05
2740000	-14.64	-14.37	5375	0.06085	7.825e-05
2750000	-14.66	-14.37	5391	0.060625	7.8125e-05
2760000	-14.65	-14.37	5408	0.0604	7.8e-05
2770000	-14.73	-14.37	5424	0.060175	7.787500000000001e-05
2780000	-14.92	-14.37	5441	0.05995	7.775e-05
2790000	-14.83	-14.37	5456	0.059725	7.7625e-05
2800000	-14.89	-14.37	5471	0.0595	7.75e-05
2810000	-14.92	-14.37	5488	0.059275	7.7375e-05
2820000	-15.06	-14.37	5506	0.05905	7.725000000000001e-05
2830000	-15.11	-14.37	5523	0.058825	7.7125e-05
2840000	-15.05	-14.37	5539	0.0586	7.7e-05
2850000	-15.08	-14.37	5556	0.058374999999999996	7.6875e-05
2860000	-15.15	-14.37	5572	0.05815	7.675e-05
2870000	-15.03	-14.37	5588	0.057925	7.6625e-05
