LossDelta	Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
0.0572287	5.435280084609985	0	5.0297029703	2.87169679563	19.0	2.0	5.0297029703	2.87169679563	1016	1016
0.0582996	5.782451629638672	1	5.61452513966	3.36462224849	22.0	2.0	5.61452513966	3.36462224849	1005	2021
0.0562257	6.078739404678345	2	6.98611111111	4.74924864103	27.0	2.0	6.98611111111	4.74924864103	1006	3027
0.0576499	6.367752552032471	3	7.88976377953	6.07593464695	42.0	2.0	7.88976377953	6.07593464695	1002	4029
0.0477498	6.649656534194946	4	9.21100917431	6.6347340046	30.0	2.0	9.21100917431	6.6347340046	1004	5033
0.042997	6.922824382781982	5	11.3483146067	7.69079578822	39.0	2.0	11.3483146067	7.69079578822	1010	6043
0.0142445	7.194308519363403	6	11.375	9.31312917338	55.0	2.0	11.375	9.31312917338	1001	7044
0.0120187	7.465040683746338	7	12.2804878049	9.74463503458	59.0	2.0	12.2804878049	9.74463503458	1007	8051
0.0131872	7.736815929412842	8	17.3103448276	13.6788370354	69.0	2.0	17.3103448276	13.6788370354	1004	9055
0.00187272	8.010240316390991	9	18.2	12.6554336156	48.0	2.0	18.2	12.6554336156	1001	10056
0.00391816	8.283780813217163	10	15.84375	11.5450459478	54.0	3.0	15.84375	11.5450459478	1014	11070
0.00505446	8.549376726150513	11	20.9791666667	13.6831550689	56.0	4.0	20.9791666667	13.6831550689	1007	12077
0.00055442	8.819118976593018	12	19.3461538462	11.6369514502	54.0	3.0	19.3461538462	11.6369514502	1006	13083
-0.0017719	9.098904609680176	13	16.0	10.9389916565	61.0	2.0	16.0	10.9389916565	1040	14123
8.30442e-05	9.36591124534607	14	19.5576923077	13.4198668192	67.0	4.0	19.5576923077	13.4198668192	1017	15140
0.000784583	9.638638257980347	15	19.679245283	14.4936857884	70.0	3.0	19.679245283	14.4936857884	1043	16183
0.00450616	9.904605150222778	16	18.2142857143	12.7932938427	59.0	4.0	18.2142857143	12.7932938427	1020	17203
0.00621528	10.176517963409424	17	17.5689655172	11.9150905027	56.0	4.0	17.5689655172	11.9150905027	1019	18222
0.00455741	10.441065311431885	18	20.9375	15.215680303	55.0	3.0	20.9375	15.215680303	1005	19227
0.00612611	10.710927724838257	19	22.2608695652	15.3161392323	70.0	3.0	22.2608695652	15.3161392323	1024	20251
0.0077997	10.978153467178345	20	22.3333333333	12.4757542635	57.0	5.0	22.3333333333	12.4757542635	1005	21256
0.00455115	11.23893690109253	21	25.6923076923	16.4630960203	63.0	2.0	25.6923076923	16.4630960203	1002	22258
0.00751005	11.497678995132446	22	22.0652173913	13.7103613213	53.0	3.0	22.0652173913	13.7103613213	1015	23273
0.00388689	11.766077756881714	23	24.4047619048	13.9932969052	54.0	4.0	24.4047619048	13.9932969052	1025	24298
0.00518926	12.018703937530518	24	25.8461538462	17.284257639	67.0	3.0	25.8461538462	17.284257639	1008	25306
0.00645196	12.271353244781494	25	28.6	16.6428019619	80.0	7.0	28.6	16.6428019619	1001	26307
0.00658436	12.544975280761719	26	27.3243243243	19.5821955179	87.0	3.0	27.3243243243	19.5821955179	1011	27318
0.00650844	12.80356240272522	27	30.5151515152	20.3173626482	76.0	5.0	30.5151515152	20.3173626482	1007	28325
0.00330577	13.079735040664673	28	29.5588235294	16.8840181593	61.0	4.0	29.5588235294	16.8840181593	1005	29330
0.000836305	13.33978533744812	29	33.7666666667	18.6595522157	81.0	6.0	33.7666666667	18.6595522157	1013	30343
0.00172996	13.598714828491211	30	34.5517241379	19.6864844358	73.0	7.0	34.5517241379	19.6864844358	1002	31345
0.00423094	13.867120265960693	31	36.2142857143	20.9938037506	103.0	6.0	36.2142857143	20.9938037506	1014	32359
