LossDelta	Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
0.115548	5.592324495315552	0	-203.073292829	35.6341985042	-147.999192124	-252.192033076	151.0	0.0	1057	1057
0.0496934	5.994667291641235	1	-173.711628949	42.9375708846	-115.793846276	-234.453439331	151.0	0.0	1057	2114
0.0556917	6.3451361656188965	2	-182.077917499	18.9157225229	-138.164661623	-197.619126201	151.0	0.0	1057	3171
0.0572813	6.7058351039886475	3	-175.910525257	39.1176498763	-124.371539519	-250.697195037	151.0	0.0	1057	4228
0.041882	7.067278861999512	4	-186.809147348	62.7280535233	-117.920966512	-320.917365746	151.0	0.0	1057	5285
0.0440615	7.443407773971558	5	-146.352678012	67.9710929895	-15.8001758705	-248.713279082	151.0	0.0	1057	6342
0.0293439	7.825566053390503	6	-192.734374857	40.9966779298	-118.414357661	-249.916018057	151.0	0.0	1057	7399
0.0259641	8.270011901855469	7	-168.389074853	23.1035115904	-125.725853416	-201.968590571	151.0	0.0	1057	8456
0.035318	8.632043600082397	8	-166.506021605	38.6497868024	-92.3242028186	-213.50024462	151.0	0.0	1057	9513
0.0135893	8.9966402053833	9	-207.704264096	46.2356276885	-146.190050711	-283.380656421	151.0	0.0	1057	10570
0.0148574	9.356779336929321	10	-209.528873424	65.7064353612	-154.979326744	-359.050667173	151.0	0.0	1057	11627
0.0279388	9.720197200775146	11	-189.17862462	22.9254930021	-149.424388113	-220.515130049	151.0	0.0	1057	12684
0.0218465	10.085962533950806	12	-209.296605969	25.6303571481	-177.358003846	-263.02256675	151.0	0.0	1057	13741
0.0290393	10.440899133682251	13	-174.947081732	18.2626865797	-145.989950519	-193.247108875	151.0	0.0	1057	14798
0.0232642	10.800089120864868	14	-160.929552961	21.2833789737	-130.223655819	-195.288033528	151.0	0.0	1057	15855
0.021104	11.157212257385254	15	-160.391778005	30.4157799733	-96.4203654566	-194.443926334	151.0	0.0	1057	16912
0.0194882	11.528551578521729	16	-171.44065673	34.7003498257	-109.778796483	-215.431635992	151.0	0.0	1057	17969
0.0228445	11.892948627471924	17	-151.8429205	37.3836162918	-79.054054181	-212.575052167	151.0	0.0	1057	19026
0.0094622	12.251270532608032	18	-187.884598246	50.2770870639	-135.868791852	-279.657437165	151.0	0.0	1057	20083
0.0152223	12.611363172531128	19	-161.827698209	40.2909613421	-124.453220784	-255.440044211	151.0	0.0	1057	21140
0.0129942	12.968713283538818	20	-166.72524468	45.3827532717	-110.032146228	-250.057356082	151.0	0.0	1057	22197
0.0187163	13.330474853515625	21	-149.800855145	47.6407046966	-65.4578399582	-219.768551929	151.0	0.0	1057	23254
